Contract #,Business Size,Schedule,Site,Begin Date,End Date,SIN,Vendor Name,Labor Category,education Level,Minimum Years Experience,Current Year Labor Price,Next Year Labor Price,Second Year Labor Price
GS-00F-408GA,small business,Consolidated,,9/20/17,9/19/22,"899-1, 899-7","WEST KERN ENVIRONMENTAL CONSULTING, LLC ",Senior Biological Consultant I - On Call Rate,Bachelors,6,14.26,14.26,14.26
GS-03D-0165Y,small business,36_Office_Imaging_Document,,9/17/17,9/16/22,51 506; 51 600,Unity Business Systems,Document Preparer,Bachelors,6,19.73,,
GS-10F-0303V,other than small business,Language Services,Customer,8/18/09,8/17/24,382-4,"Mission Essential , LLC (D.B.A.) MEP","LCI II, SSL (LEP)",Bachelors,5,23.85,24.33,24.81
GS-10F-0303V,other than small business,Language Services,Customer,8/18/09,8/17/24,382-4,"Mission Essential , LLC (D.B.A.) MEP","LCI III, SSL (LEP)",Bachelors,5,23.85,24.33,24.81
GS-10F-0303V,other than small business,Language Services,Customer,8/18/09,8/17/24,382-4,"Mission Essential , LLC (D.B.A.) MEP","LCI IV, SSL (LEP)",Bachelors,5,23.85,24.33,24.81
GS-00F-214GA,small business,Consolidated,Both,6/9/17,6/8/22,874-1,KIMETRICA LLC,Database Administrator,Bachelors,6,26.26,27.05,27.86
GS-25F-0008P,other than small business,36_Office_Imaging_Document,Blank,10/1/03,9/30/23,"51 501, 51 504, 51 505, 51 506, 51 509, 733 1","ZIMMERMAN ASSOCIATES, INC.",Document Conversion Specialist III,Bachelors,5,28.08,,
GS-02F-033GA,small business,736TAPS,,5/16/17,5/15/22,736-5,SAPTA GLOBAL INC.,Claim Analyst,Bachelors,5,29.09,29.97,30.87
GS-10F-0008P,small business,Logistics,Both,10/2/03,10/1/23,874-501/507,Scientific And Commercial Systems Corporation,Equipment Custodian 2,Bachelors,5,30.23,,
47QSHA18D001B,small business,03FAC,Both,4/20/18,4/19/23,811-002,"South Dade Air Conditioning and Refrigeration, Inc.","First-Line Supervisors of Housekeeping and Janitorial Workers, Level II",Bachelors,5,30.72,,
